,title,genres,tmdb_id
44,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,10530
45,When Night Is Falling (1995),Drama|Romance,8391
46,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,629
47,Mighty Aphrodite (1995),Comedy|Drama|Romance,11448
48,Lamerica (1994),Adventure|Drama,49133
49,"Big Green, The (1995)",Children|Comedy,26441
50,Georgia (1995),Drama,97406
51,Home for the Holidays (1995),Drama,9089
52,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,11010
53,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,11359
54,Eye for an Eye (1996),Drama|Thriller,17182
55,Mr. Holland's Opus (1995),Drama,2054
56,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,10607
57,Two if by Sea (1996),Comedy|Romance,19760
58,Bio-Dome (1996),Comedy,9536
59,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,11525
60,French Twist (Gazon maudit) (1995),Comedy|Romance,4482
61,Friday (1995),Comedy,10634
62,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,755
63,Fair Game (1995),Action,11859
64,Kicking and Screaming (1995),Comedy|Drama,28387
65,"Misérables, Les (1995)",Drama|War,48750
66,Bed of Roses (1996),Drama|Romance,20927
67,Big Bully (1996),Comedy|Drama,36929
68,Screamers (1995),Action|Sci-Fi|Thriller,9102
69,Nico Icon (1995),Documentary,124626
70,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,27526
71,"Juror, The (1996)",Drama|Thriller,9623
72,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,46785
73,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,400
74,Antonia's Line (Antonia) (1995),Comedy|Drama,880
75,Once Upon a Time... When We Were Colored (1995),Drama|Romance,146599
76,Angels and Insects (1995),Drama|Romance,8447
77,White Squall (1996),Action|Adventure|Drama,10534
78,Dunston Checks In (1996),Children|Comedy,17414
79,Black Sheep (1996),Comedy,13997
80,Nick of Time (1995),Action|Thriller,2086
81,Mary Reilly (1996),Drama|Horror|Thriller,9095
82,Vampire in Brooklyn (1995),Comedy|Horror|Romance,12158
83,Beautiful Girls (1996),Comedy|Drama|Romance,9283
84,Broken Arrow (1996),Action|Adventure|Thriller,9208
85,In the Bleak Midwinter (1995),Comedy|Drama,40154
86,"Hate (Haine, La) (1995)",Crime|Drama,406
87,Heidi Fleiss: Hollywood Madam (1995),Documentary,63076
88,City Hall (1996),Drama|Thriller,11062
89,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,13685
90,Mr. Wrong (1996),Comedy,47475
91,Unforgettable (1996),Mystery|Sci-Fi|Thriller,2045
92,Happy Gilmore (1996),Comedy,9614
93,"Bridges of Madison County, The (1995)",Drama|Romance,688
94,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,11907
95,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,10874
96,Catwalk (1996),Documentary,89333
97,Braveheart (1995),Action|Drama|War,197
98,Taxi Driver (1976),Crime|Drama|Thriller,103
99,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,33542
100,Before and After (1996),Drama|Mystery,43566
101,Anne Frank Remembered (1995),Documentary,51352
102,"Young Poisoner's Handbook, The (1995)",Crime|Drama,16934
103,If Lucy Fell (1996),Comedy|Romance,10324
104,"Steal Big, Steal Little (1995)",Comedy,78406
105,"Boys of St. Vincent, The (1992)",Drama,32119
106,Boomerang (1992),Comedy|Romance,11066
107,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,11104
108,Flirting With Disaster (1996),Comedy,2074
109,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,27793
110,Jupiter's Wife (1994),Documentary,290157
111,Pie in the Sky (1996),Comedy|Romance,110972
112,Jade (1995),Thriller,11863
113,Down Periscope (1996),Comedy,9101
114,Man of the Year (1995),Documentary,5757
115,Up Close and Personal (1996),Drama|Romance,9302
116,"Birdcage, The (1996)",Comedy,11000
117,"Brothers McMullen, The (1995)",Comedy,16388
118,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,9737
119,"Amazing Panda Adventure, The (1995)",Adventure|Children,30765
120,"Basketball Diaries, The (1995)",Drama,10474
121,"Awfully Big Adventure, An (1995)",Drama,22279
122,Amateur (1994),Crime|Drama|Thriller,30157
123,Apollo 13 (1995),Adventure|Drama|IMAX,568
124,Rob Roy (1995),Action|Drama|Romance|War,11780
125,"Addiction, The (1995)",Drama|Horror,34996
126,Batman Forever (1995),Action|Adventure|Comedy|Crime,414
127,Beauty of the Day (Belle de jour) (1967),Drama,649
128,Beyond Rangoon (1995),Adventure|Drama|War,1873
129,Blue in the Face (1995),Comedy|Drama,5894
130,Canadian Bacon (1995),Comedy|War,1775
131,Casper (1995),Adventure|Children,8839
132,Clockers (1995),Crime|Drama|Mystery,20649
133,Congo (1995),Action|Adventure|Mystery|Sci-Fi,10329
134,Crimson Tide (1995),Drama|Thriller|War,8963
135,Crumb (1994),Documentary,26564
136,Desperado (1995),Action|Romance|Western,8068
137,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,8512
138,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,1572
139,"Doom Generation, The (1995)",Comedy|Crime|Drama,13552
140,First Knight (1995),Action|Drama|Romance,6520
141,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,9073
142,Hackers (1995),Action|Adventure|Crime|Thriller,10428
143,Jeffrey (1995),Comedy|Drama,17447
144,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,9886
145,Judge Dredd (1995),Action|Crime|Sci-Fi,9482
146,Jury Duty (1995),Comedy,19326
147,Kids (1995),Drama,9344
148,Living in Oblivion (1995),Comedy,9071
149,Lord of Illusions (1995),Horror,8973
150,Love & Human Remains (1993),Comedy|Drama,15730
151,Mad Love (1995),Drama|Romance,47608
152,Mallrats (1995),Comedy|Romance,2293
153,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,9070
154,Mute Witness (1994),Comedy|Horror|Thriller,48787
155,Nadja (1994),Drama,34574
156,"Net, The (1995)",Action|Crime|Thriller,1642
157,Nine Months (1995),Comedy|Romance,11472
158,Party Girl (1995),Comedy,36196
159,"Prophecy, The (1995)",Fantasy|Horror|Mystery,11980
160,Reckless (1995),Comedy|Fantasy,58372
161,Safe (1995),Thriller,32646
162,"Scarlet Letter, The (1995)",Drama|Romance,10533
163,Showgirls (1995),Drama,10802
164,Smoke (1995),Comedy|Drama,10149
165,Something to Talk About (1995),Comedy|Drama|Romance,18402
166,Species (1995),Horror|Sci-Fi,9348
167,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,281
168,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,5967
169,Three Wishes (1995),Drama|Fantasy,47939
170,Total Eclipse (1995),Drama|Romance,36834
171,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,9090
172,Under Siege 2: Dark Territory (1995),Action,3512
173,Unstrung Heroes (1995),Comedy|Drama,52856
174,Unzipped (1995),Documentary,77350
175,"Walk in the Clouds, A (1995)",Drama|Romance,9560
176,Waterworld (1995),Action|Adventure|Sci-Fi,9804
177,White Man's Burden (1995),Drama,31611
178,Wild Bill (1995),Western,65796
179,"Browning Version, The (1994)",Drama,49805
180,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,26258
181,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,50797
182,Before the Rain (Pred dozhdot) (1994),Drama|War,19155
183,Before Sunrise (1995),Drama|Romance,76
184,Billy Madison (1995),Comedy,11017
185,"Babysitter, The (1995)",Drama|Thriller,37141
186,Boys on the Side (1995),Comedy|Drama,9382
187,"Cure, The (1995)",Drama,6715
188,Castle Freak (1995),Horror,18256
189,Circle of Friends (1995),Drama|Romance,22625
190,Clerks (1994),Comedy,2292
191,Don Juan DeMarco (1995),Comedy|Drama|Romance,1909
192,Disclosure (1994),Drama|Thriller,8984
193,Drop Zone (1994),Action|Thriller,4954
194,Destiny Turns on the Radio (1995),Comedy,62488
195,Death and the Maiden (1994),Drama|Thriller,10531
196,Dolores Claiborne (1995),Drama|Thriller,11929
197,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,8467
198,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,10451
199,Exotica (1994),Drama,20156
200,Exit to Eden (1994),Comedy,18395
201,Ed Wood (1994),Comedy|Drama,522
202,French Kiss (1995),Action|Comedy|Romance,397
203,Forget Paris (1995),Comedy|Romance,10525
204,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,27985
205,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,15789
206,Hideaway (1995),Thriller,27303
207,Fluke (1995),Children|Drama,21183
208,Farinelli: il castrato (1994),Drama|Musical,10954
209,Gordy (1995),Children|Comedy|Fantasy,47867
210,Hoop Dreams (1994),Documentary,14275
211,Heavenly Creatures (1994),Crime|Drama,1024
212,Houseguest (1994),Comedy,17207
213,Immortal Beloved (1994),Drama|Romance,13701
214,Heavyweights (Heavy Weights) (1995),Children|Comedy,14819
215,"Hunted, The (1995)",Action,32631
216,I.Q. (1994),Comedy|Romance,11777
217,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,628
218,Jefferson in Paris (1995),Drama,87729
219,"Jerky Boys, The (1995)",Comedy,18713
220,Junior (1994),Comedy|Sci-Fi,6280
221,Just Cause (1995),Mystery|Thriller,9061
222,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,37108
223,Kiss of Death (1995),Crime|Drama|Thriller,6071
224,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,11
225,Little Women (1994),Drama,9587
226,"Little Princess, A (1995)",Children|Drama,19101
227,Ladybird Ladybird (1994),Drama,49980
228,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,18183
229,Legends of the Fall (1994),Drama|Romance|War|Western,4476
230,Major Payne (1995),Comedy,11008
231,My Crazy Life (Mi vida loca) (1993),Drama,32325
232,Love Affair (1994),Drama|Romance,43742
233,Losing Isaiah (1995),Drama,28313
234,"Madness of King George, The (1994)",Comedy|Drama,11318
235,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,3036
236,Man of the House (1995),Comedy,40490
237,Mixed Nuts (1994),Comedy,24070
238,Milk Money (1994),Comedy|Romance,8986
239,Miracle on 34th Street (1994),Drama,10510
240,Miami Rhapsody (1995),Comedy,17402
241,My Family (1995),Drama,38722
242,Murder in the First (1995),Drama|Thriller,8438
243,Nobody's Fool (1994),Comedy|Drama|Romance,11593
244,Nell (1994),Drama,1945
245,New Jersey Drive (1995),Crime|Drama,39310
246,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,109560
247,Beyond Bedlam (1993),Drama|Horror,56428
248,Nina Takes a Lover (1994),Comedy|Romance,131957
249,Natural Born Killers (1994),Action|Crime|Thriller,241
250,Only You (1994),Comedy|Romance,9058
251,Once Were Warriors (1994),Crime|Drama,527
252,Poison Ivy II (1996),Drama|Thriller,18220
253,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,6950
254,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,101
255,"Perez Family, The (1995)",Comedy|Romance,63020
256,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,2307
257,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,680
258,Pushing Hands (Tui shou) (1992),Drama,25296
259,Priest (1994),Drama,40156
260,Quiz Show (1994),Drama,11450
261,Picture Bride (Bijo photo) (1994),Drama|Romance,30304
262,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,10452
263,"Quick and the Dead, The (1995)",Action|Thriller|Western,12106
264,Roommates (1995),Comedy|Drama,161495
265,Ready to Wear (Pret-A-Porter) (1994),Comedy,3586
266,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,110
267,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,108
268,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,109
269,Rent-a-Kid (1995),Comedy,36357
270,Relative Fear (1994),Horror|Thriller,92769
271,Stuart Saves His Family (1995),Comedy,28033
272,"Swan Princess, The (1994)",Animation|Children,22586
273,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,14334
274,"Specialist, The (1994)",Action|Drama|Thriller,2636
275,Stargate (1994),Action|Adventure|Sci-Fi,2164
276,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,11395
277,"Shawshank Redemption, The (1994)",Crime|Drama,278
278,Shallow Grave (1994),Comedy|Drama|Thriller,9905
279,Suture (1993),Film-Noir|Thriller,87078
280,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,12527
281,Swimming with Sharks (1995),Comedy|Drama,20306
282,"Sum of Us, The (1994)",Comedy|Drama,36614
283,National Lampoon's Senior Trip (1995),Comedy,27993
284,To Live (Huozhe) (1994),Drama,31439
285,Tank Girl (1995),Action|Comedy|Sci-Fi,9067
286,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,9059
287,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,193
288,Tales from the Hood (1995),Action|Crime|Horror,25066
289,Tom & Viv (1994),Drama,46797
290,Village of the Damned (1995),Horror|Sci-Fi,12122
291,Tommy Boy (1995),Comedy,11381
292,Vanya on 42nd Street (1994),Drama,32636
293,Underneath (1995),Mystery|Thriller,36141
294,"Walking Dead, The (1995)",Drama|War,95963
295,What's Eating Gilbert Grape (1993),Drama,1587
296,Virtuosity (1995),Action|Sci-Fi|Thriller,9271
297,While You Were Sleeping (1995),Comedy|Romance,2064
298,"War, The (1994)",Adventure|Drama|War,19855
299,Double Happiness (1994),Drama,60855
300,Muriel's Wedding (1994),Comedy,236
301,"Baby-Sitters Club, The (1995)",Children,48287
302,Ace Ventura: Pet Detective (1994),Comedy,3049
303,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,2759
304,Backbeat (1993),Drama|Musical,12635
305,Bitter Moon (1992),Drama|Film-Noir|Romance,10497
306,Bullets Over Broadway (1994),Comedy,11382
307,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,9331
308,"Client, The (1994)",Drama|Mystery|Thriller,10731
309,"Corrina, Corrina (1994)",Comedy|Drama|Romance,10464
310,Crooklyn (1994),Comedy|Drama,34152
311,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,9495
312,Cobb (1994),Drama,29973
313,"Flintstones, The (1994)",Children|Comedy|Fantasy,888
314,Forrest Gump (1994),Comedy|Drama|Romance|War,13
315,Four Weddings and a Funeral (1994),Comedy|Romance,712
316,Higher Learning (1995),Drama,16295
317,I Like It Like That (1994),Comedy|Drama|Romance,48992
318,I Love Trouble (1994),Action|Comedy,10879
319,It Could Happen to You (1994),Comedy|Drama|Romance,10660
320,"Jungle Book, The (1994)",Adventure|Children|Romance,10714
321,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,41647
322,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,8587
323,Little Buddha (1993),Drama,1689
324,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,11596
325,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,854
326,Maverick (1994),Adventure|Comedy|Western,9359
327,Mrs. Parker and the Vicious Circle (1994),Drama,23333
328,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,36593
329,"Paper, The (1994)",Comedy|Drama,12280
330,Reality Bites (1994),Comedy|Drama|Romance,2788
331,Red Rock West (1992),Thriller,10427
332,Richie Rich (1994),Children|Comedy,11011
333,"River Wild, The (1994)",Action|Thriller,8987
334,Speed (1994),Action|Romance|Thriller,1637
335,Speechless (1994),Comedy|Romance,15128
336,Timecop (1994),Action|Sci-Fi|Thriller,8831
337,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,36955
338,When a Man Loves a Woman (1994),Drama|Romance,10449
339,Wolf (1994),Drama|Horror|Romance|Thriller,10395
340,Wyatt Earp (1994),Western,12160
341,Bad Company (1995),Action|Crime|Drama,40480
342,"Man of No Importance, A (1994)",Drama,52038
343,S.F.W. (1994),Drama,29444
344,"Low Down Dirty Shame, A (1994)",Action|Comedy,26352
345,Boys Life (1995),Drama,39953
346,"Colonel Chabert, Le (1994)",Drama|Romance|War,41580
347,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,315
348,Jason's Lyric (1994),Crime|Drama,22067
349,Street Fighter (1994),Action|Adventure|Fantasy,11667
350,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,8011
351,Federal Hill (1994),Drama,171857
352,In the Mouth of Madness (1995),Horror|Thriller,2654
353,8 Seconds (1994),Drama,18069
354,Above the Rim (1994),Crime|Drama,19092
355,Addams Family Values (1993),Children|Comedy|Fantasy,2758
356,"Age of Innocence, The (1993)",Drama,10436
357,Airheads (1994),Comedy,13595
358,"Air Up There, The (1994)",Comedy,46094
359,Another Stakeout (1993),Comedy|Thriller,9409
360,Bad Girls (1994),Western,11853
361,Barcelona (1994),Comedy|Romance,16771
362,Being Human (1993),Drama,46924
363,"Beverly Hillbillies, The (1993)",Comedy,11041
364,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,306
365,Black Beauty (1994),Adventure|Children|Drama,14522
366,Blink (1994),Thriller,26203
367,Blown Away (1994),Action|Thriller,178
368,Blue Chips (1994),Drama,19819
369,Blue Sky (1994),Drama|Romance,57834
370,Body Snatchers (1993),Horror|Sci-Fi|Thriller,4722
371,Boxing Helena (1993),Drama|Mystery|Romance|Thriller,18215
372,"Bronx Tale, A (1993)",Drama,1607
373,Cabin Boy (1994),Comedy,26391
374,Calendar Girl (1993),Comedy|Drama,117553
375,Carlito's Way (1993),Crime|Drama,6075
376,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,11310
377,Clean Slate (1994),Comedy,18658
378,Cliffhanger (1993),Action|Adventure|Thriller,9350
379,Coneheads (1993),Comedy|Sci-Fi,9612
380,Color of Night (1994),Drama|Thriller,2124
381,Cops and Robbersons (1994),Comedy,26261
382,"Cowboy Way, The (1994)",Action|Comedy|Drama,19176
383,Dave (1993),Comedy|Romance,11566
384,Dazed and Confused (1993),Comedy,9571
385,Demolition Man (1993),Action|Adventure|Sci-Fi,9739
386,Even Cowgirls Get the Blues (1993),Comedy|Romance,34444
387,Fatal Instinct (1993),Comedy,26141
388,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance,10997
389,Fearless (1993),Drama,10443
390,Fear of a Black Hat (1994),Comedy,20239
391,With Honors (1994),Comedy|Drama,16297
392,Flesh and Bone (1993),Drama|Mystery|Romance,18551
393,Widows' Peak (1994),Drama,25440
394,For Love or Money (1993),Comedy|Romance,9024
395,"Firm, The (1993)",Drama|Thriller,37233
396,Free Willy (1993),Adventure|Children|Drama,1634
397,Fresh (1994),Crime|Drama|Thriller,13815
398,"Fugitive, The (1993)",Thriller,5503
399,Geronimo: An American Legend (1993),Drama|Western,35588
400,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller,2087
401,Getting Even with Dad (1994),Comedy,41579
402,Go Fish (1994),Drama|Romance,18620
403,Hard Target (1993),Action|Adventure|Crime|Thriller,2019
404,Hot Shots! Part Deux (1993),Action|Comedy|War,9255
405,Live Nude Girls (1995),Comedy,26271
406,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance,10612
407,"House of the Spirits, The (1993)",Drama|Romance,2259
408,House Party 3 (1994),Comedy,16097
409,"Hudsucker Proxy, The (1994)",Comedy,11934
410,I'll Do Anything (1994),Comedy|Drama,106143
411,In the Army Now (1994),Comedy|War,12475
412,In the Line of Fire (1993),Action|Thriller,9386
413,In the Name of the Father (1993),Drama,7984
414,"Inkwell, The (1994)",Comedy|Drama,59930
415,What's Love Got to Do with It? (1993),Drama|Musical,15765
416,Jimmy Hollywood (1994),Comedy|Crime|Drama,31643
417,Judgment Night (1993),Action|Crime|Thriller,6
418,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,329
419,Kalifornia (1993),Drama|Thriller,10909
420,Killing Zoe (1994),Crime|Drama|Thriller,507
421,Lassie (1994),Adventure|Children,29918
422,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,9593
423,Life with Mikey (1993),Comedy,42580
424,Lightning Jack (1994),Comedy|Western,22317
425,M. Butterfly (1993),Drama|Romance,1413
426,Made in America (1993),Comedy,12121
427,Malice (1993),Thriller,2246
428,"Man Without a Face, The (1993)",Drama,10502
429,Manhattan Murder Mystery (1993),Comedy|Mystery,10440
430,Menace II Society (1993),Action|Crime|Drama,9516
431,Executive Decision (1996),Action|Adventure|Thriller,2320
432,In the Realm of the Senses (Ai no corrida) (1976),Drama,5879
433,What Happened Was... (1994),Comedy|Drama|Romance|Thriller,83718
434,Much Ado About Nothing (1993),Comedy|Romance,11971
435,Mr. Wonderful (1993),Comedy|Romance,31911
436,Mrs. Doubtfire (1993),Comedy|Drama,788
437,Naked (1993),Drama,21450
438,"Next Karate Kid, The (1994)",Action|Children|Romance,11231
439,No Escape (1994),Action|Drama|Sci-Fi,10447
440,North (1994),Comedy,31586
441,Orlando (1992),Drama|Fantasy|Romance,9300
442,"Perfect World, A (1993)",Crime|Drama|Thriller,9559
443,Philadelphia (1993),Drama,9800
444,"Piano, The (1993)",Drama|Romance,713
445,Poetic Justice (1993),Drama,8291
446,"Program, The (1993)",Action|Drama,18133
447,"Puppet Masters, The (1994)",Horror|Sci-Fi,25557
448,Radioland Murders (1994),Comedy|Mystery|Romance,22588
449,"Ref, The (1994)",Comedy,10872
450,"Remains of the Day, The (1993)",Drama|Romance,1245
451,Renaissance Man (1994),Comedy|Drama,11858
452,Rising Sun (1993),Action|Drama|Mystery,7007
453,"Road to Wellville, The (1994)",Comedy,10467
454,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller,5550
455,Robin Hood: Men in Tights (1993),Comedy,8005
456,Romeo Is Bleeding (1993),Crime|Thriller,2088
457,Romper Stomper (1992),Action|Drama,10412
458,Ruby in Paradise (1993),Drama,47889
459,Rudy (1993),Drama,14534
460,"Savage Nights (Nuits fauves, Les) (1992)",Drama,41878
461,Schindler's List (1993),Drama|War,424
462,"Scout, The (1994)",Comedy|Drama,35233
463,Searching for Bobby Fischer (1993),Drama,14291
464,"Secret Garden, The (1993)",Children|Drama,11236
465,Serial Mom (1994),Comedy|Crime|Horror,11592
466,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery,8850
467,Shadowlands (1993),Drama|Romance,10445
468,Short Cuts (1993),Drama,695
469,"Simple Twist of Fate, A (1994)",Drama,43535
470,Sirens (1994),Drama,12519
471,Six Degrees of Separation (1993),Drama,23210
472,Sleepless in Seattle (1993),Comedy|Drama|Romance,858
473,Sliver (1993),Thriller,867
474,Blade Runner (1982),Action|Sci-Fi|Thriller,78
475,Son in Law (1993),Comedy|Drama|Romance,13203
476,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,10442
477,Striking Distance (1993),Action|Crime,11074
478,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,9607
479,Surviving the Game (1994),Action|Adventure|Thriller,17585
480,Terminal Velocity (1994),Action|Mystery|Thriller,9057
481,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical,20967
482,Threesome (1994),Comedy|Romance,10635
483,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,9479
484,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,10057
485,Tombstone (1993),Action|Drama|Western,11969
486,True Romance (1993),Crime|Thriller,319
487,"War Room, The (1993)",Documentary,26408
488,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy,15139
489,Welcome to the Dollhouse (1995),Comedy|Drama,11446
490,Germinal (1993),Drama|Romance,51980
491,Chasers (1994),Comedy,24405
492,Kika (1993),Comedy|Drama,8223
493,Bhaji on the Beach (1993),Comedy|Drama,14587
494,Little Big League (1994),Comedy|Drama,31504
495,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama,23637
496,Spanking the Monkey (1994),Comedy|Drama,17600
497,"Little Rascals, The (1994)",Children|Comedy,10897
498,Andre (1994),Adventure|Children|Drama,21352
499,"Escort, The (Scorta, La) (1993)",Crime|Thriller,68806
500,Princess Caraboo (1994),Drama,37345
501,"Celluloid Closet, The (1995)",Documentary,32562
502,Dear Diary (Caro Diario) (1994),Comedy|Drama,25403
503,"Brady Bunch Movie, The (1995)",Comedy,9066
504,Home Alone (1990),Children|Comedy,771
505,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,251
506,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,812
507,Terminator 2: Judgment Day (1991),Action|Sci-Fi,280
508,Dances with Wolves (1990),Adventure|Drama|Western,581
509,Batman (1989),Action|Crime|Thriller,268
510,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,274
511,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,408
